Engine Size,Cylinders,Fuel Consumption Combined,Co2 Emissions
2.4,4,33,199
3.5,6,26,254
3.5,6,26,258
3,6,31,210
2,4,29,232
2,4,27,241
3.5,6,34,196
2.4,4,32,209
3.5,6,29,228
3.5,6,27,240
1.8,4,34,197
2,4,32,205
2,4,31,217
2.9,6,24,271
2,4,30,218
2,4,29,226
2.9,6,23,288
4,8,25,271
5.2,12,21,312
5.2,12,20,324
4,8,25,270
4,8,20,333
2,4,36,182
2,4,30,224
2,4,30,224
2,4,32,205
2,4,32,206
2,4,32,205
2,4,32,206
2,4,32,205
2,4,32,205
3,6,29,227
3,6,27,247
3,6,29,227
3,6,25,267
4,8,21,308
2,4,27,248
2,4,29,226
2,4,25,264
3,6,22,296
3,6,22,296
5.2,10,19,347
5.2,10,19,347
2.5,5,27,243
4,8,18,360
2,4,30,222
3,6,27,245
3,6,27,245
3,6,26,252
3,6,27,245
2.9,6,26,255
2.9,6,26,255
4,8,19,339
3,6,24,276
4,8,21,321
4,8,20,322
2,4,31,213
2,4,31,213
2.5,5,27,241
2,4,30,220
4,8,21,315
6,12,16,401
4,8,23,291
6,12,18,364
4,8,23,291
6,12,18,373
6,12,18,373
6.8,8,14,465
2,4,32,205
2,4,32,204
2,4,30,219
2,4,33,200
2,4,30,219
2,4,34,195
2,4,31,213
2,4,32,204
2,4,30,219
2,4,30,219
3,6,26,249
3,6,29,231
3,6,28,233
3,6,26,257
3,6,28,233
2,4,32,206
3,6,30,222
4.4,8,23,290
4.4,8,23,290
4.4,8,23,290
3,6,23,290
3,6,24,273
2,4,31,208
3,6,29,231
3,6,26,255
3,6,28,233
3,6,29,231
3,6,29,231
3,6,26,255
3,6,26,255
3,6,28,233
3,6,28,233
3,6,28,233
3,6,22,299
3,6,22,299
3,6,24,280
3,6,24,280
3,6,23,290
3,6,23,290
3,6,24,273
3,6,24,273
3,6,23,290
4.4,8,20,322
4.4,8,20,322
4.4,8,24,273
6.6,12,19,354
4.4,8,20,322
4.4,8,20,322
4.4,8,20,322
4.4,8,20,322
4.4,8,20,322
4.4,8,20,322
4.4,8,23,290
4.4,8,24,273
4.4,8,23,290
2,4,31,213
2,4,32,207
2,4,31,210
2,4,31,215
3,6,19,339
3,6,19,339
3,6,28,235
2,4,31,215
3,6,19,339
3,6,19,339
3,6,28,235
3,6,27,245
4.4,8,22,302
4.4,8,22,302
3,6,27,245
4.4,8,22,302
3,6,26,254
4.4,8,21,318
4.4,8,21,318
2,4,33,200
3,6,30,216
8,16,13,522
8,16,12,537
3.6,6,25,263
3.6,6,24,277
1.4,4,32,204
1.4,4,31,214
1.2,3,34,198
1.3,3,33,199
2,4,26,250
2.5,4,28,234
2,4,31,211
2,4,29,227
3.6,6,26,255
2,4,32,203
2.7,4,29,232
2,4,31,213
2.7,4,28,238
2.7,4,28,234
2.7,4,28,238
2,4,31,209
3,6,26,256
2,4,30,221
3,6,25,268
3,6,25,263
3,6,24,276
3.6,6,26,259
4.2,8,20,324
6.2,8,20,333
2,4,32,209
2,4,29,227
2,4,29,227
2,4,28,235
3.6,6,24,270
3.6,6,24,277
2,4,29,225
2.5,4,28,238
2,4,28,232
3.6,6,25,269
2,4,30,219
2,4,28,235
3.6,6,27,247
3.6,6,24,280
6.2,8,23,282
6.2,8,22,296
6.2,8,19,355
6.2,8,19,349
2.5,4,26,252
2.8,4,28,270
3.6,6,24,273
2.5,4,25,265
2.8,4,27,284
3.6,6,23,286
2.8,4,23,326
3.6,6,20,331
6.2,8,23,290
1.5,4,34,196
1.5,4,32,204
2,4,29,228
3.6,6,26,255
3.6,6,19,246
1.5,4,38,189
2,4,31,214
2.7,4,25,262
2.7,4,24,275
3,6,32,238
4.3,6,21,318
5.3,8,20,326
5.3,8,20,339
5.3,8,14,326
5.3,8,23,286
2.7,4,24,275
2.7,4,24,280
3,6,30,252
4.3,6,20,331
4.3,6,19,349
5.3,8,20,331
5.3,8,19,350
5.3,8,14,342
5.3,8,19,354
5.3,8,22,303
5.3,8,22,296
5.3,8,22,307
6.2,8,21,321
6.2,8,19,357
6.2,8,20,332
1.4,4,40,167
1.4,4,39,170
5.3,8,21,314
5.3,8,21,314
5.3,8,16,298
5.3,8,20,337
5.3,8,20,337
5.3,8,15,319
6.2,8,19,343
5.3,8,21,314
5.3,8,21,314
5.3,8,16,298
5.3,8,20,325
5.3,8,20,325
5.3,8,15,305
6.2,8,20,327
3.6,6,25,261
3.6,6,24,276
1.4,4,34,196
1.4,4,31,214
3.6,6,27,242
5.7,8,23,289
3.6,6,26,258
3.6,6,27,249
3.6,6,24,276
3.6,6,27,249
3.6,6,27,242
5.7,8,23,289
5.7,8,22,307
6.4,8,22,305
6.4,8,20,325
3.6,6,26,258
6.4,8,22,305
6.4,8,20,325
6.2,8,19,339
6.2,8,19,352
6.2,8,18,358
6.2,8,19,352
3.6,6,24,271
3.6,6,27,242
5.7,8,23,289
6.4,8,22,305
3.6,6,26,258
6.4,8,22,305
6.2,8,18,368
3.6,6,25,265
5.7,8,20,331
6.4,8,18,363
3.6,6,24,276
2.4,4,25,261
1.4,4,35,187
1.4,4,36,185
1.4,4,30,221
1.3,4,31,213
1,3,34,197
2,4,31,216
2,4,29,229
2,4,28,233
2,4,28,233
2.7,6,26,258
1.5,3,36,185
1.5,3,34,196
2,4,31,213
2.5,4,49,136
2.5,4,48,139
3.5,6,23,294
3.5,6,22,308
2.3,4,27,241
3,6,24,278
3.3,6,29,225
2.7,6,27,249
3,6,29,264
3,6,29,264
3.3,6,26,254
3.3,6,19,245
3.5,6,22,298
5,8,22,297
5,8,16,293
5,8,22,305
5,8,16,294
5,8,21,319
5,8,16,300
2.7,6,24,277
3,6,26,290
3,6,28,270
3.3,6,24,274
3.3,6,18,265
3.5,6,22,304
3.5,6,22,296
5,8,21,317
5,8,16,296
3.5,6,20,336
1.5,4,32,203
2,4,50,131
3.5,6,17,393
2.3,4,30,221
2.3,4,27,242
2.3,4,29,226
2.3,4,27,244
5,8,23,289
5,8,21,312
5,8,21,319
2.3,4,27,242
2.3,4,27,244
2.3,4,27,240
2.3,4,26,252
5,8,22,303
2.3,4,26,256
5.2,8,19,342
5.2,8,17,392
3.5,6,19,340
3.5,6,15,316
3.5,6,19,352
3.5,6,14,328
2,4,30,219
2,4,22,209
2,4,30,219
2.5,4,27,247
2,4,31,214
2,4,31,214
2,4,23,208
2.5,4,26,251
2,4,26,255
2,4,28,238
3.3,6,24,284
3.3,6,24,282
3.8,6,24,276
5,8,21,312
3.3,6,24,280
5,8,22,311
2,4,29,225
2.5,4,28,238
3.6,6,26,257
2,4,28,232
3.6,6,25,269
2.5,4,26,252
2.8,4,28,270
3.6,6,24,273
2.5,4,25,265
2.8,4,27,284
3.6,6,23,286
2.7,4,25,262
2.7,4,24,275
3,6,31,245
4.3,6,21,318
5.3,8,20,326
5.3,8,20,339
5.3,8,14,326
5.3,8,23,288
2.7,4,24,275
2.7,4,24,280
3,6,29,265
3,6,29,265
4.3,6,20,331
5.3,8,20,331
5.3,8,19,344
5.3,8,14,325
5.3,8,19,354
5.3,8,22,304
5.3,8,21,314
5.3,8,22,298
5.3,8,22,307
6.2,8,20,326
6.2,8,20,332
1.5,4,33,202
1.5,4,31,210
2,4,28,239
5.3,8,21,314
5.3,8,21,314
5.3,8,16,298
5.3,8,20,325
5.3,8,20,325
5.3,8,15,305
6.2,8,20,327
5.3,8,21,314
5.3,8,21,314
5.3,8,16,298
5.3,8,20,337
5.3,8,20,337
5.3,8,15,319
6.2,8,19,343
1.5,4,39,170
1.5,4,37,177
1.5,4,36,185
2,4,31,214
2,4,31,211
2,4,56,117
1.5,4,39,167
2,4,40,164
2,4,38,176
2,4,35,189
1.5,4,36,183
1.5,4,41,162
1.5,4,39,167
1.5,4,38,172
1.5,4,39,167
1.5,4,40,165
2,4,40,167
2,4,38,172
2,4,35,186
1.5,4,36,183
2,4,29,223
1.5,4,37,180
1.5,4,35,189
1.5,4,43,151
1.5,4,40,166
1.5,4,38,174
1.8,4,36,181
1.8,4,34,193
1.8,4,33,200
1.5,4,58,115
3.5,6,27,248
3.5,6,25,265
3.5,6,25,266
3.5,6,26,257
3.5,6,25,269
1.6,4,42,160
1.6,4,40,168
1.6,4,35,192
1.6,4,31,214
2,4,42,161
2,4,36,187
1.6,4,33,205
1.6,4,31,218
2,4,34,199
2,4,32,207
1.6,4,67,99
1.6,4,69,96
2,4,36,187
1.6,4,33,201
2,4,33,202
3.8,6,27,250
3.8,6,25,265
2.4,4,29,225
2,4,26,255
2.4,4,28,238
1.6,4,37,181
2.5,4,37,182
2,4,56,117
2,4,31,216
2,4,28,239
2.4,4,28,241
1.6,4,36,184
1.6,4,34,196
2,4,34,193
2,4,30,226
1.6,4,38,178
1.6,4,36,184
3,6,26,254
3,6,25,261
3,6,26,251
3,6,26,259
2,4,29,228
3.5,6,26,257
5.6,8,18,360
2,4,29,231
2,4,28,236
2,4,29,227
2,4,29,232
3,6,24,277
5,8,22,303
2,4,31,215
3,6,27,242
3,6,26,253
3,6,25,265
5,8,22,299
5,8,22,299
2,4,31,215
3,6,27,242
3,6,26,253
3,6,25,265
5,8,22,299
5,8,22,299
2,4,33,200
2,4,30,220
2,4,32,207
2,4,31,217
3,6,27,243
2,4,31,214
2.4,4,30,219
3.2,6,28,240
2,4,29,229
2.4,4,29,230
3.2,6,27,249
2,4,28,240
3.2,6,25,259
2,4,27,249
3.2,6,24,269
2.4,4,30,218
2.4,4,31,211
2.4,4,30,222
2.4,4,30,221
3.6,6,23,290
3.6,6,22,296
3.6,6,25,265
5.7,8,20,331
6.2,8,16,413
